VALUE,ABBR,MEANING,RETIRED
1,Forest,Accessible forest land ,N
2,Accessible nonforest land,Accessible nonforest land,N
3,Noncensus water,Noncensus water,N
4,Census water,Census water,N
5,Nonsampled,Nonsampled,N
