STATECD,VALUE,MEANING,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE
40,5,Southwest,NIMS_PROD_3_0,2008-01-30 15:05:54,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
40,6,High Plains,NIMS_PROD_3_0,2008-01-30 15:05:54,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
40,7,Great Plains,NIMS_PROD_3_0,2008-01-30 15:05:54,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
41,0,Northwest,NIMS_2_1,2005-02-24 09:42:35,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
41,1,West Central,NIMS_2_1,2005-02-24 09:42:35,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
41,2,Southwest,NIMS_2_1,2005-02-24 09:42:35,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
41,3,Central,NIMS_2_1,2005-02-24 09:42:35,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
41,4,Blue Mountains,NIMS_2_1,2005-02-24 09:42:35,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
42,0,South Central,NIMS_2_1,2005-02-24 09:42:35,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
42,5,Western,NIMS_2_1,2005-02-24 09:42:35,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
42,6,North Central/Allegheny,NIMS_2_1,2005-02-24 09:42:35,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
42,7,Southwestern,NIMS_2_1,2005-02-24 09:42:35,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
42,8,Northeastern/Pocono,NIMS_2_1,2005-02-24 09:42:35,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
42,9,Southeastern,NIMS_2_1,2005-02-24 09:42:35,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
44,1,State,NIMS_2_1,2005-02-24 09:42:35,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
45,1,Southern Coastal Plain,NIMS_2_1,2005-02-24 09:42:35,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
45,2,Northern Coastal Plain,NIMS_2_1,2005-02-24 09:42:35,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
45,3,Piedmont,NIMS_2_1,2005-02-24 09:42:35,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
46,1,Eastern,NIMS_2_1,2005-02-24 09:42:35,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
46,2,Western,NIMS_2_1,2005-02-24 09:42:35,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
47,1,West,NIMS_2_1,2005-02-24 09:42:35,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
47,2,West Central,NIMS_2_1,2005-02-24 09:42:35,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
47,3,Central,NIMS_2_1,2005-02-24 09:42:35,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
47,4,Plateau,NIMS_2_1,2005-02-24 09:42:35,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
47,5,East,NIMS_2_1,2005-02-24 09:42:35,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
48,1,Southeast,NIMS_2_1,2005-02-24 09:42:35,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
48,2,Northeast,NIMS_2_1,2005-02-24 09:42:36,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
48,3,North Central,NIMS_PROD_3_0,2008-01-30 15:05:54,333,NIMS_DEV,2011-07-21 12:51:17,333
48,4,South,NIMS_PROD_3_0,2008-01-30 15:05:54,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
48,5,West Central,NIMS_PROD_3_0,2008-01-30 15:05:54,333,NIMS_DEV,2011-07-21 12:51:18,333
48,6,Northwest,NIMS_PROD_3_0,2008-01-30 15:05:54,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
48,7,West,NIMS_PROD_3_0,2008-01-30 15:05:54,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
49,1,Northern,NIMS_2_1,2005-02-24 09:42:36,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
49,2,Uinta,NIMS_2_1,2005-02-24 09:42:36,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
49,3,Central,NIMS_2_1,2005-02-24 09:42:36,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
49,4,Eastern,NIMS_2_1,2005-02-24 09:42:36,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
49,5,Southwestern,NIMS_2_1,2005-02-24 09:42:36,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
50,2,Northern,NIMS_2_1,2005-02-24 09:42:36,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
50,3,Southern,NIMS_2_1,2005-02-24 09:42:36,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
51,1,Coastal Plain,NIMS_2_1,2005-02-24 09:42:36,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
