VALUE,ABBR,MEANING,RETIRED
0,0,0,N
10,6-10%,6-10%,N
15,11-15%,11-15%,N
20,16-20%,16-20%,N
25,21-25%,21-25%,N
30,26-30%,26-30%,N
35,31-35%,31-35%,N
40,36-40%,36-40%,N
45,41-45%,41-45%,N
5,1-5%,1-5%,N
50,46-50%,46-50%,N
55,51-55%,51-55%,N
60,56-60%,56-60%,N
65,61-65%,61-65%,N
70,66-70%,66-70%,N
75,71-75%,71-75%,N
80,76-80%,76-80%,N
85,81-85%,81-85%,N
90,86-90%,86-90%,N
95,91-95%,91-95%,N
99,96-100%,96-100%,N
