VALUE,ABBR,MEANING,RETIRED
1,Bole removed,Bole removed – The bole of the tree was removed but the stump remains on site,N
2,Bole stump removed,Bole and stump removed – The bole and stump were removed from the site. Use this code if the entire surface of the stump has been reduced below ground level or removed completely.,N
