PLOTID,VISIT_NBR,STATECD,UNITCD,COUNTYCD,RETIRED_PLOT,SUBP,CONDID,TREE,BLDG_INTERACTION_ID,DISTANCE_CD,AZIMUTH,ITREE_ECO_VERSION,ELEC_AVOID_VALUE_SUM,ELEC_AVOID_SUM,FUEL_AVOID_VALUE_SUM,FUEL_AVOID_SUM,CARBON_AVOID_VALUE_SUM,CARBON_AVOID_SUM,COOLING_CLIMATE_C_ELEC_AVOID,COOLING_CLIMATE_ELEC_AVOID,COOLING_SHADING_C_ELEC_AVOID,COOLING_SHADING_ELEC_AVOID,HEATING_CLIMATE_FUEL_AVOID,HEATING_CLIMATE_C_FUEL_AVOID,HEATING_CLIMATE_C_ELEC_AVOID,HEATING_CLIMATE_ELEC_AVOID,HEATING_SHADING_FUEL_AVOID,HEATING_SHADING_C_FUEL_AVOID,HEATING_SHADING_C_ELEC_AVOID,HEATING_SHADING_ELEC_AVOID,HEATING_WINDBREAK_FUEL_AVOID,HEATING_WINDBREAK_C_FUEL_AVOID,HEATING_WINDBREAK_C_ELEC_AVOID,HEATING_WINDBREAK_ELEC_AVOID,CN,PLT_CN,SBP_CN,CND_CN,MTRE_CN,PREV_PLT_CN
1857910,1,17,3,31,22179,1,3,2,1,,,6.0.35,1.549953846,11.2888117,1.35012595,159707.154,1.053648877,45.30475113,10.0072233,9.009755973,1.074023039,0.966970078,706949.4583,145.0405787,6.568727158,5.913991021,-547242.3043,-112.2744201,-5.111380909,-4.601905373,0.0,0.0,0.0,0.0,491758761126144,352769749489998,491758740126144,491758739126144,491758757126144,
1857349,1,17,3,31,23813,1,2,1,1,,,6.0.35,1.082806717,7.886429113,3.415369607,404005.9816,2.131427136,91.64701648,5.008859035,4.50960234,0.0,0.0,404005.9816,82.88748321,3.750674233,3.376826774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491758863126144,352769753489998,491758849126144,491758848126144,491758861126144,
1857349,1,17,3,31,23813,1,2,1,3,,,6.0.35,1.509867214,10.99684788,3.285756385,388673.9611,2.138618027,91.9562101,5.008859035,4.50960234,3.597977211,3.239349787,404005.9816,82.88748321,3.750674233,3.376826774,-15332.02053,-3.145578661,-0.143204932,-0.128931019,0.0,0.0,0.0,0.0,491758865126144,352769753489998,491758849126144,491758848126144,491758861126144,
1857349,1,17,3,31,23813,1,2,1,4,,,6.0.35,1.172985565,8.543230627,3.39194553,401235.1345,2.135172377,91.8080542,5.008859035,4.50960234,0.755396219,0.680102301,404005.9816,82.88748321,3.750674233,3.376826774,-2770.847152,-0.568478085,-0.02588041,-0.023300787,0.0,0.0,0.0,0.0,491758866126144,352769753489998,491758849126144,491758848126144,491758861126144,
1852346,4,17,3,31,20028,1,1,1,1,,,6.0.35,2.396488546,17.45439582,10.89159196,1288372.507,6.598323052,283.7144236,5.934978481,5.343411075,1.628934885,1.466571233,1875422.626,384.7692077,17.30604921,15.58107334,-587050.1195,-120.4415507,-5.483195926,-4.936659826,0.0,0.0,0.0,0.0,491758902126144,352769755489998,491758888126144,491758886126144,491758900126144,
1852346,4,17,3,31,20028,1,1,1,2,,,6.0.35,2.608766653,19.00048545,9.817988213,1161375.319,6.032296315,259.3764292,5.934978481,5.343411075,4.532377341,4.080613832,1875422.626,384.7692077,17.30604921,15.58107334,-714047.3078,-146.4968019,-6.669381641,-6.004612794,0.0,0.0,0.0,0.0,491758903126144,352769755489998,491758888126144,491758886126144,491758900126144,
1852370,5,17,3,31,20112,1,1,1,1,,,6.0.35,0.794952944,5.789897625,-13.5440917,-1602138.184,-7.495011182,-322.270183,4.92410571,4.433296779,16.4755127,14.83332034,106366.175,21.82250993,0.989137905,0.890545847,-1708504.359,-350.5235884,-15.95786089,-14.36726534,0.0,0.0,0.0,0.0,491759342126144,352769766489998,491759306126144,491759305126144,491759323126144,
1796301,4,17,3,97,20087,1,1,3,1,,,6.0.35,3.610948682,26.29969907,8.54553549,1010856.174,5.502647862,236.6026268,10.06940678,9.065741329,9.773610066,8.799428075,1045491.763,214.4972721,9.691818983,8.725789497,-34635.58888,-7.105975957,-0.323505121,-0.291259834,0.0,0.0,0.0,0.0,491759441126144,352769767489998,491759370126144,491759369126144,491759385126144,
1796301,4,17,3,97,20087,1,1,18,1,,,6.0.35,0.426596502,3.107039345,1.54301401,182523.9905,0.951170049,40.89837071,1.758872989,1.58355779,0.0,0.0,182523.9905,37.44735199,1.692145732,1.523481555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491759457126144,352769767489998,491759370126144,491759369126144,491759400126144,
1837533,4,17,3,197,20006,1,1,1,2,,,6.0.35,12.65928044,92.20160551,-8.389944602,-992451.2409,-2.353740778,-101.2060493,9.87041965,8.886588189,101.8173874,91.6687663,212867.2521,43.67269692,1.979388228,1.782093232,-1205318.493,-247.2879633,-11.25797821,-10.13584221,0.0,0.0,0.0,0.0,489743235126144,352769852489998,478152185489998,478152184489998,488918147126144,
1837533,4,17,3,197,20006,1,1,7,1,,,6.0.35,1.765668482,12.85993068,6.803714178,804815.1565,4.172354942,179.4027464,1.513140583,1.362318696,5.112349766,4.602777659,32742.78277,6.717640284,0.304490257,0.274140272,-142659.0478,-29.26850088,-1.332471426,-1.19965769,914731.4216,187.6699574,8.686140491,7.820351741,489743240126144,352769852489998,478152185489998,478152184489998,488918150126144,
1853039,5,17,3,43,20034,1,1,9,1,,,6.0.35,0.25498541,1.857140641,-0.795384908,-94086.52572,-0.400959122,-17.24042385,1.755422267,1.580451018,1.196768485,1.077480904,164789.7524,33.80892476,1.528522979,1.376167857,-258876.2781,-53.11209272,-2.417969619,-2.176959138,0.0,0.0,0.0,0.0,489743252126144,352769858489998,478152327489998,478152325489998,488918158126144,
1795853,4,17,3,89,20007,1,1,3,1,,,6.0.35,1.187676139,8.650226794,-6.038957645,-714351.6784,-3.185066463,-136.951357,1.764624192,1.588735744,14.53153123,13.08310471,212081.0541,43.51139738,1.96485032,1.769004385,-926432.7324,-190.0706451,-8.653114982,-7.790618041,0.0,0.0,0.0,0.0,491757500126144,352769784489998,491757463126144,491757461126144,491757478126144,
1795853,4,17,3,89,20007,1,1,6,2,,,6.0.35,2.294460896,16.71129568,9.094617989,1075807.45,5.564877118,239.2783578,1.550291117,1.395766261,6.809306078,6.130590301,186780.632,38.32066157,1.730498759,1.558011755,-182183.2028,-37.37743462,-1.701636985,-1.53202677,1071210.021,219.7737327,10.17293914,9.15895413,491757507126144,352769784489998,491757463126144,491757461126144,491757481126144,
1854651,1,17,3,31,23232,1,2,2,2,,,6.0.35,1.123055078,8.179570851,0.780512129,92327.21645,0.65182977,28.02734967,4.95134785,4.457823566,3.275770291,2.949258756,106366.175,21.82250993,0.989137905,0.890545847,-14038.95857,-2.880288896,-0.131127408,-0.118057318,0.0,0.0,0.0,0.0,489743144126144,352769800489998,478150005489998,478150004489998,488917950126144,
1856965,1,17,3,31,23428,1,2,1,2,,,6.0.35,0.973325273,7.089040592,-1.005817748,-118978.7441,-0.384583114,-16.53628896,1.704811676,1.534885024,7.281876431,6.556057329,37158.48366,7.623583142,0.345539022,0.311097512,-156137.2278,-32.03373821,-1.458361021,-1.312999273,0.0,0.0,0.0,0.0,489743149126144,352769806489998,478150662489998,478150661489998,488917962126144,
1856965,1,17,3,31,23428,1,2,1,3,,,6.0.35,0.973325273,7.089040592,-1.005817748,-118978.7441,-0.384583114,-16.53628896,1.704811676,1.534885024,7.281876431,6.556057329,37158.48366,7.623583142,0.345539022,0.311097512,-156137.2278,-32.03373821,-1.458361021,-1.312999273,0.0,0.0,0.0,0.0,489743150126144,352769806489998,478150662489998,478150661489998,488917962126144,
1857067,1,17,3,31,23488,1,1,1,3,,,6.0.35,15.03670908,109.517182,-14.71444525,-1740579.961,-5.476133221,-235.4625514,9.777144433,8.802610155,128.1309518,115.3595332,212867.2521,43.67269692,1.979388228,1.782093232,-1953447.213,-400.777044,-18.24568882,-16.42705462,0.0,0.0,0.0,0.0,489743156126144,352769812489998,478150840489998,478150838489998,488917968126144,
1857913,1,17,3,31,22176,1,2,1,4,,,6.0.35,1.353080486,9.854919783,-0.080851746,-9563.998322,0.208934726,8.983766786,9.976131562,8.981763295,1.074023039,0.966970078,537678.306,110.312232,5.007181246,4.508091783,-547242.3043,-112.2744201,-5.111380909,-4.601905373,0.0,0.0,0.0,0.0,489743176126144,352769819489998,478151048489998,478151047489998,488917978126144,
1852341,4,17,3,31,20182,1,1,1,1,,,6.0.35,3.221959977,23.46656939,-2.305197214,-272683.0681,-0.694921424,-29.88020287,10.162682,9.149719363,18.58059776,16.7285816,1553305.22,318.6823122,14.37645672,12.94348721,-1825988.288,-374.6270611,-17.05519037,-15.35521879,0.0,0.0,0.0,0.0,489743185126144,352769831489998,478151403489998,478151402489998,488917986126144,
1852341,4,17,3,31,20182,1,1,1,2,,,6.0.35,2.609653574,19.00694518,4.487784962,530862.5939,3.023982875,130.0250915,10.162682,9.149719363,6.121931118,5.511729258,1553305.22,318.6823122,14.37645672,12.94348721,-1022442.626,-209.7684189,-9.549871562,-8.597990647,0.0,0.0,0.0,0.0,489743186126144,352769831489998,478151403489998,478151402489998,488917986126144,
1852998,4,17,3,43,20016,1,1,2,2,,,6.0.35,2.209864121,16.09515019,6.05865441,716681.6198,3.835398499,164.9143072,5.069397125,4.564106311,6.175632573,5.560078034,742358.136,152.3051646,6.871834771,6.186886463,-25676.51624,-5.267896777,-0.239825127,-0.215920621,0.0,0.0,0.0,0.0,489743199126144,352769835489998,478151558489998,478151556489998,488918007126144,
1852998,4,17,3,43,20016,1,1,2,3,,,6.0.35,0.952528065,6.937567841,1.022868539,120995.6917,0.756537863,32.52958395,5.069397125,4.564106311,1.568073638,1.411776314,742358.136,152.3051646,6.871834771,6.186886463,-621362.4443,-127.4812045,-5.803681679,-5.225201247,0.0,0.0,0.0,0.0,489743200126144,352769835489998,478151558489998,478151556489998,488918007126144,
1852998,4,17,3,43,20016,1,1,5,1,,,6.0.35,14.1491184,103.0525739,2.369405194,280278.266,3.999364325,171.964503,10.1502453,9.138522292,101.8173874,91.6687663,1485596.759,304.7909735,13.75183836,12.38112751,-1205318.493,-247.2879633,-11.25797821,-10.13584221,0.0,0.0,0.0,0.0,489743204126144,352769835489998,478151558489998,478151556489998,488918009126144,
1852998,4,17,3,43,20016,1,1,6,1,,,6.0.35,14.1491184,103.0525739,2.369405194,280278.266,3.999364325,171.964503,10.1502453,9.138522292,101.8173874,91.6687663,1485596.759,304.7909735,13.75183836,12.38112751,-1205318.493,-247.2879633,-11.25797821,-10.13584221,0.0,0.0,0.0,0.0,489743206126144,352769835489998,478151558489998,478151556489998,488918010126144,
1796375,4,17,3,97,20011,1,2,11,1,,,6.0.35,1.731429813,12.61055946,-3.21875851,-380748.7449,-1.490983908,-64.10926486,4.893836665,4.406044793,12.67347207,11.4102471,106366.175,21.82250993,0.989137905,0.890545847,-487114.9199,-99.93844543,-4.549776,-4.096278284,0.0,0.0,0.0,0.0,489743208126144,352769839489998,478151657489998,478151656489998,488918021126144,
1796375,4,17,3,97,20011,1,2,21,1,,,6.0.35,4.923008579,35.85585273,-6.246641248,-738918.688,-2.599520379,-111.7740705,9.789581129,8.813807226,36.94639419,33.26377214,212867.2521,43.67269692,1.979388228,1.782093232,-951785.9402,-195.2722106,-8.889920326,-8.003819875,0.0,0.0,0.0,0.0,489743218126144,352769839489998,478151657489998,478151656489998,488918031126144,
1796340,4,17,3,97,20080,1,1,12,1,,,6.0.35,1.454048454,10.59030192,1.799528661,212867.2521,1.28925766,55.43544793,9.783362781,8.808208691,0.0,0.0,212867.2521,43.67269692,1.979388228,1.782093232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489743226126144,352769840489998,478151750489998,478151747489998,488918053126144,
1857727,1,17,3,31,21962,1,1,1,3,,,6.0.35,0.996366581,7.256857837,1.887213364,223239.5247,1.2526403,53.86097619,5.042154985,4.539579524,0.97736093,0.879942738,590099.6665,121.067208,5.467312529,4.922359603,-366860.1418,-75.26649414,-3.426566094,-3.085024028,0.0,0.0,0.0,0.0,785696761290487,352769531489998,785696724290487,785696719290487,785696745290487,
1857727,1,17,3,31,21962,1,2,3,2,,,6.0.35,-0.031809168,-0.231676388,-0.232902241,-27550.13638,-0.137439579,-5.909621391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27550.13638,-5.65229618,-0.25732521,-0.231676388,0.0,0.0,0.0,0.0,785696767290487,352769531489998,785696724290487,785696720290487,785696747290487,
1853029,4,17,3,43,20061,1,1,6,2,,,6.0.35,1.13076037,8.235690968,5.703206875,674635.532,3.431753268,147.5583861,1.49506735,1.346046908,1.252004035,1.127210865,32742.78277,6.717640284,0.304490257,0.274140272,-3800.018951,-0.779627088,-0.035493134,-0.031955365,645692.7682,132.4729111,6.131393288,5.520248288,942084235290487,352769571489998,942084184290487,942084179290487,942084208290487,
1796131,4,17,3,93,20008,1,1,2,2,,,6.0.35,0.924332527,6.732210682,0.864838803,102302.2659,0.662037791,28.46627374,4.893836665,4.406044793,1.632515033,1.46979453,106366.175,21.82250993,0.989137905,0.890545847,-4063.909156,-0.833767858,-0.037957935,-0.034174488,0.0,0.0,0.0,0.0,942083014290487,352769574489998,942082970290487,942082966290487,942082986290487,
1796131,4,17,3,93,20008,1,1,4,1,,,6.0.35,1.669864659,12.16216066,9.162173895,1083798.676,5.485495292,235.8651013,3.206941646,2.887290588,0.0,0.0,69596.8357,14.2787652,0.647177534,0.582670285,-143391.3366,-29.41874019,-1.339311188,-1.205815701,1157593.177,237.4964465,10.99382176,9.898015492,942083018290487,352769574489998,942082970290487,942082966290487,942082988290487,
1796131,4,17,3,93,20008,1,1,11,1,,,6.0.35,1.180868532,8.60064481,6.742417855,797564.3802,4.027733463,173.1843181,1.500087692,1.350566849,0.451089688,0.406127443,32742.78277,6.717640284,0.304490257,0.274140272,-220005.2674,-45.13716069,-2.054904592,-1.850082522,984826.8649,202.0510189,9.352056521,8.419892768,942083028290487,352769574489998,942082970290487,942082966290487,942082995290487,
1857907,1,17,3,31,22182,1,1,1,2,,,6.0.35,8.409052762,61.24583221,-4.056490456,-479844.5255,-0.707486667,-30.42048266,9.901511389,8.914580867,62.61554236,56.37435478,212867.2521,43.67269692,1.979388228,1.782093232,-692711.7776,-142.1195191,-6.470102417,-5.825196675,0.0,0.0,0.0,0.0,785697133290487,352769605489998,785697109290487,785697101290487,785697128290487,
1857977,1,17,3,31,22301,1,1,4,1,,,6.0.35,0.902461498,6.572916956,1.213248985,143515.9012,0.854573097,36.74489894,5.030047367,4.52867873,0.966620742,0.870273076,522429.2356,107.1836717,4.843080422,4.360347665,-378913.3344,-77.73937534,-3.539145948,-3.186382514,0.0,0.0,0.0,0.0,785695253290487,352769606489998,785695212290487,785695205290487,785695233290487,
1857977,1,17,3,31,22301,1,1,4,3,,,6.0.35,1.316837872,9.59095318,4.393067298,519658.3885,2.727291276,117.2679583,5.030047367,4.52867873,0.805517295,0.725227573,522429.2356,107.1836717,4.843080422,4.360347665,-2770.847152,-0.568478085,-0.02588041,-0.023300787,0.0,0.0,0.0,0.0,785695255290487,352769606489998,785695212290487,785695205290487,785695233290487,
1852335,4,17,3,31,20130,1,2,1,1,,,6.0.35,3.396105603,24.73492792,-2.87437175,-340011.0424,-0.983411825,-42.28470129,1.76117347,1.585628972,28.90196013,26.02116492,194346.8159,39.87297015,1.801227567,1.621690687,-534357.8584,-109.6309957,-4.99103694,-4.493556657,0.0,0.0,0.0,0.0,785697735290487,352769609489998,785697715290487,785697709290487,785697730290487,
1852335,4,17,3,31,20130,1,2,1,2,,,6.0.35,0.210469485,1.53291686,-0.681878228,-80659.75713,-0.345268779,-14.84585279,1.76117347,1.585628972,0.708855215,0.638200259,194346.8159,39.87297015,1.801227567,1.621690687,-275006.5731,-56.42144856,-2.568630635,-2.312603058,0.0,0.0,0.0,0.0,785697736290487,352769609489998,785697715290487,785697709290487,785697730290487,
