PLT_CN,INV_CN
352769732489998,810170788290487
352769736489998,810170788290487
352769746489998,810170788290487
352769750489998,810170788290487
352769759489998,810170788290487
352769763489998,810170788290487
352769771489998,810170788290487
352769772489998,810170788290487
352769776489998,810170788290487
352769803489998,810171091290487
352769804489998,810171091290487
352769812489998,810171091290487
352769825489998,810171091290487
352769830489998,810171091290487
352769833489998,810171091290487
352769844489998,810171091290487
352769857489998,810171091290487
352769858489998,810171091290487
352769860489998,810171091290487
352769868489998,810171091290487
559740539126144,810170847290487
559740541126144,810170847290487
559740547126144,810170847290487
559740549126144,810170847290487
559740555126144,810170847290487
559740587126144,810170847290487
781816978290487,810170903290487
781817008290487,810170903290487
781817017290487,810170903290487
781817046290487,810170903290487
781817049290487,810170903290487
992948058290487,810170959290487
923575,810170895290487
923697,810170895290487
352769388489998,810170895290487
352769393489998,810171142290487
352769395489998,810170895290487
352769396489998,810171142290487
352769403489998,810170895290487
352769407489998,810170895290487
352769417489998,810171142290487
352769429489998,810171142290487
352769434489998,810171142290487
352769446489998,810171142290487
352769478489998,810171049290487
352769496489998,810171049290487
352769505489998,810171049290487
352769508489998,810171049290487
352769516489998,810170896290487
352769522489998,810170895290487
352769526489998,810170895290487
352769532489998,810170895290487
352769537489998,810170895290487
352769539489998,810170895290487
352769541489998,810170895290487
352769550489998,810170896290487
352769559489998,810170896290487
352769564489998,810170896290487
352769577489998,810170896290487
352769579489998,810170896290487
352769589489998,810170895290487
352769591489998,810170895290487
352769596489998,810170895290487
352769600489998,810170895290487
352769604489998,810170895290487
352769606489998,810170895290487
352769612489998,810170895290487
352769617489998,810170895290487
352769618489998,810170895290487
352769621489998,810170895290487
352769623489998,810170895290487
352769627489998,810170895290487
352769637489998,810170895290487
352769666489998,810170951290487
352769677489998,810170951290487
352769678489998,810170951290487
352769679489998,810170951290487
352769691489998,810170951290487
352769698489998,810170951290487
352769715489998,810170951290487
352769727489998,810170788290487
352769730489998,810170788290487
352769737489998,810170788290487
352769764489998,810170788290487
352769782489998,810170788290487
352769794489998,810170788290487
352769806489998,810171091290487
352769817489998,810171091290487
352769834489998,810171091290487
352769848489998,810171091290487
352769855489998,810171091290487
352769862489998,810171091290487
352769863489998,810171091290487
352769866489998,810171091290487
781816987290487,810170903290487
781816999290487,810170903290487
781817005290487,810170903290487
781817025290487,810170903290487
781817064290487,810170903290487
992948043290487,810170959290487
992948049290487,810170959290487
