SAMPLE_NAME,REPORT_YEAR,DOMAIN_NAME,DOMAIN_TYPE,EXPRESSION,CN,PSS_CN,PDOM_CN
KanMOUA2019Cur,2019,"Standing Dead Mother Tree (1""+)",MOTHER_TREE,id_mother_tree.dia>=1 AND id_mother_tree.statuscd=2 AND id_mother_tree.standing_dead_cd=1,1302246862290487,931708906290487,1268166839290487
KanMOUA2019Cur,2019,"Standing Dead Tree (5""+)",TREE,id_tree.dia>=5 AND id_tree.statuscd=2 AND id_tree.standing_dead_cd=1,931709033290487,931708906290487,414427302489998
KanMOUA2019FS,2019,"Live Tree (1""+)",TREE,id_tree.statuscd=1 AND id_tree.dia>=1,931709041290487,931708907290487,414427301489998
KanMOUA2019Inv,2019,Urban Forest,LAND,,931709049290487,931708908290487,414427308489998
KanMOUA2019Inv,2019,"Standing Dead Mother Tree (5""+)",MOTHER_TREE,id_mother_tree.dia>=5 AND id_mother_tree.statuscd=2 AND id_mother_tree.standing_dead_cd=1,1302247039290487,931708908290487,1268170529290487
KanMOUA2019Inv,2019,"Live Tree (5""+)",TREE,id_tree.statuscd=1 AND id_tree.dia>=5,931709050290487,931708908290487,417940978489998
KanMOUA2021Cur,2021,Live Seedling,SEEDLING,,1268224471290487,1268224247290487,414427304489998
KanMOUA2021FS,2021,"Standing Dead Mother Tree (1""+)",MOTHER_TREE,id_mother_tree.dia>=1 AND id_mother_tree.statuscd=2 AND id_mother_tree.standing_dead_cd=1,1302247270290487,1268224248290487,1268166839290487
KanMOUA2021FS,2021,Live Seedling,SEEDLING,,1268224480290487,1268224248290487,414427304489998
KanMOUA2021FS,2021,"Live Tree (5""+)",TREE,id_tree.statuscd=1 AND id_tree.dia>=5,1268224476290487,1268224248290487,417940978489998
