SAMPLE_NAME,REPORT_YEAR,DOMAIN_NAME,DOMAIN_TYPE,EXPRESSION,CN,PSS_CN,PDOM_CN
SanTXUA2018Inv,2018,FIA Forest Land (Cover),LAND,id_cond.cond_status_cd=1,719071885290487,718869287290487,414427306489998
SanTXUA2018Inv,2018,"Live Mother Tree (1""+)",MOTHER_TREE,id_mother_tree.statuscd=1 AND id_mother_tree.dia>=1,1302246964290487,718869287290487,1268166131290487
SanTXUA2018Inv,2018,"Standing Dead Tree (1""+)",TREE,id_tree.dia>=1 AND id_tree.statuscd=2 AND id_tree.standing_dead_cd=1,719071891290487,718869287290487,414427303489998
SanTXUA2019Cur,2019,FIA Forest Land (Any),LAND,id_cond.cond_status_cd=1,928883573290487,928883552290487,414427309489998
SanTXUA2019Cur,2019,"Standing Dead Tree (1""+)",TREE,id_tree.dia>=1 AND id_tree.statuscd=2 AND id_tree.standing_dead_cd=1,928883578290487,928883552290487,414427303489998
SanTXUA2019Cur,2019,"Live Tree (5""+)",TREE,id_tree.statuscd=1 AND id_tree.dia>=5,928883575290487,928883552290487,417940978489998
SanTXUA2019FS,2019,Urban Forest,LAND,,928883583290487,928883553290487,414427308489998
SanTXUA2019FS,2019,Live Seedling,SEEDLING,,928883588290487,928883553290487,414427304489998
SanTXUA2021Cur,2021,FIA Forest Land (Any),LAND,id_cond.cond_status_cd=1,1268220832290487,1268220826290487,414427309489998
SanTXUA2021Cur,2021,Sampled Land,LAND,id_cond.cond_status_cd<5,1268220830290487,1268220826290487,414427310489998
SanTXUA2021Cur,2021,Live Seedling,SEEDLING,,1268220838290487,1268220826290487,414427304489998
SanTXUA2021FS,2021,FIA Forest Land (Cover),LAND,id_cond.cond_status_cd=1,1268220840290487,1268220827290487,414427306489998
SanTXUA2021FS,2021,Urban Forest,LAND,,1268220842290487,1268220827290487,414427308489998
SanTXUA2021FS,2021,"Live Mother Tree (5""+)",MOTHER_TREE,id_mother_tree.statuscd=1 AND id_mother_tree.dia>=5,1302247073290487,1268220827290487,1268166132290487
SanTXUA2021FS,2021,"Standing Dead Mother Tree (1""+)",MOTHER_TREE,id_mother_tree.dia>=1 AND id_mother_tree.statuscd=2 AND id_mother_tree.standing_dead_cd=1,1302247074290487,1268220827290487,1268166839290487
SanTXUA2021Inv,2021,"Live Mother Tree (1""+)",MOTHER_TREE,id_mother_tree.statuscd=1 AND id_mother_tree.dia>=1,1302247032290487,1268220828290487,1268166131290487
SanTXUA2022Cur,2022,"Standing Dead Mother Tree (1""+)",MOTHER_TREE,id_mother_tree.dia>=1 AND id_mother_tree.statuscd=2 AND id_mother_tree.standing_dead_cd=1,1491030260290487,1491030245290487,1268166839290487
SanTXUA2022Cur,2022,Live Seedling,SEEDLING,,1491030257290487,1491030245290487,414427304489998
SanTXUA2022FS,2022,"Live Tree (1""+)",TREE,id_tree.statuscd=1 AND id_tree.dia>=1,1491030267290487,1491030246290487,414427301489998
SanTXUA2022Inv,2022,"Standing Dead Mother Tree (1""+)",MOTHER_TREE,id_mother_tree.dia>=1 AND id_mother_tree.statuscd=2 AND id_mother_tree.standing_dead_cd=1,1491030287290487,1491030247290487,1268166839290487
SanTXUA2022Inv,2022,Live Seedling,SEEDLING,,1491030284290487,1491030247290487,414427304489998
SprMOUA2018Cur,2018,"Live Mother Tree (1""+)",MOTHER_TREE,id_mother_tree.statuscd=1 AND id_mother_tree.dia>=1,1302246988290487,742206335290487,1268166131290487
SprMOUA2018FS,2018,"Live Tree (1""+)",TREE,id_tree.statuscd=1 AND id_tree.dia>=1,742215613290487,742206336290487,414427301489998
SprMOUA2018Inv,2018,FIA Forest Land (Cover),LAND,id_cond.cond_status_cd=1,742215619290487,742206337290487,414427306489998
AusTXUA2021Cur,2021,"Live Mother Tree (1""+)",MOTHER_TREE,id_mother_tree.statuscd=1 AND id_mother_tree.dia>=1,1302246808290487,1267606875290487,1268166131290487
