PLOTID,VISIT_NBR,STATECD,UNITCD,COUNTYCD,RETIRED_PLOT,SUBP,CONDID,TREE,STEM,MOTHER_TREE,OFFSET_POINT,DIST,AZIMUTH,STATUSCD,TREECLCD,SPCD,SPGRPCD,STANDING_DEAD_CD,UTILCLCD,MORTYR,DIA,DIACHECK,DIAHTCD,LTDMP,TOTAL_LENGTH,ACTUAL_LENGTH,HTCD,ABNORMAL_STEM_TERMINATION,RECONCILECD,BOLE_STUMP_REMOVED,FIELD_PREV_DIA,FIELD_PREV_STATUS_CD,FIELD_PREV_NBR_STEMS,CROWN_CLASS_CD,COMP_CROWN_RATIO,DMG_ROOT_STEM_GIRDLING,DMG_TRUNK_BARK_INCLUSION,DMG_TOPPING_PRUNING,DMG_EXCESS_MULCH,DMG_SIDEWALK_ROOT_CONFLICT,DMG_OVERHEAD_WIRES,DMG_IMPROPER_PLANTING,DAMAGE_AGENT_1,DAMAGE_AGENT_2,DAMAGE_AGENT_3,NBR_STEMS,CULL_FLD,ROUGHCULL,CAUSE_OF_DEATH,DECAYCD,MORTALITY_CD,TREECLCD_NRS,TREECLCD_SRS,TREECLCD_PNWRS,TREECLCD_RMRS,TREE_GRADE,TREE_SITE_INDEX,BASAL_AREA,TPA_UNADJ,CARBON_AG,CARBON_BG,DRYBIO_AG,DRYBIO_BG,DRYBIO_BOLE,DRYBIO_BOLE_BARK,DRYBIO_BRANCH,DRYBIO_FOLIAGE,DRYBIO_SAWLOG,DRYBIO_SAWLOG_BARK,DRYBIO_STEM,DRYBIO_STEM_BARK,DRYBIO_STUMP,DRYBIO_STUMP_BARK,VOLBFGRS,VOLBFNET,VOLBSGRS,VOLBSNET,VOLCFGRS,VOLCFGRS_BARK,VOLCFGRS_STUMP,VOLCFGRS_STUMP_BARK,VOLCFGRS_TOP,VOLCFGRS_TOP_BARK,VOLCFNET,VOLCFNET_BARK,VOLCFSND,VOLCFSND_BARK,VOLCFSND_STUMP,VOLCFSND_STUMP_BARK,VOLCFSND_TOP,VOLCFSND_TOP_BARK,VOLCSGRS,VOLCSGRS_BARK,VOLCSNET,VOLCSNET_BARK,VOLCSSND,VOLCSSND_BARK,VOLTSGRS,VOLTSGRS_BARK,VOLTSSND,VOLTSSND_BARK,CN,PLT_CN,SBP_CN,CND_CN,MTRE_CN,PREV_PLT_CN,PREV_TRE_CN
1852507,4,17,3,31,20070,1,1,2,2,,,,,1,3.0,5150,55,,,,5.7,0.0,1,6.0,18.0,,1.0,,,,,,,4.0,55.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0,,,,,3.0,,,,,60.0,0.17720046,6.0180462857,34.196595,3.88178,68.944748,7.82617,20.493049,5.259885,25.799073,4.510666,,,34.333426,8.812249,6.126407,1.572445,,,,,0.752504,0.243476,0.224962,0.072787,0.283257,0.091649,0.662204,0.219128,0.737454,0.243476,0.220462,0.072787,0.277592,0.091649,,,,,,,1.260723,0.407912,1.235508,0.407912,942210915290487,352769479489998,942210893290487,942210890290487,942210913290487,,
1852371,4,17,3,31,20083,1,1,1,1,,,,,1,2.0,742,37,,,,38.0,0.0,1,,94.0,,1.0,,,,,,,3.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22500.0,0.0,,,1.0,,,,,2.0,,,,3.0,56.0,7.875576,6.0180462857,3919.125515,693.697868,8374.199819,1482.260401,4354.743526,659.705316,3177.019873,386.208211,4314.126825,653.552243,4513.434365,683.745581,155.60435,23.572689,1526.406403,1150.653992,,,234.092396,40.750087,8.364625,1.456088,0.165916,0.028882,229.410548,40.342586,231.751472,40.750087,8.280978,1.456088,0.164257,0.028882,231.909016,40.370011,227.270835,39.966311,229.589926,40.370011,242.622937,42.235058,240.196708,42.235058,942210981290487,352769487489998,942210931290487,942210929290487,942210948290487,,
1852371,4,17,3,31,20083,1,1,7,7,,,,,1,3.0,6918,55,,,,5.9,0.0,1,4.9,28.0,,3.0,,,,,,,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22500.0,0.0,,,2.0,,,,,3.0,,,,,56.0,0.18985374,6.0180462857,52.750305,7.811889,111.053273,16.446083,46.121251,8.990087,29.48555,4.656248,,,68.261914,13.305809,8.531738,1.663031,,,,,1.436605,0.421087,0.26575,0.077895,0.423897,0.124249,1.264212,0.378978,1.407873,0.421087,0.260435,0.077895,0.415419,0.124249,,,,,,,2.126252,0.623231,2.083727,0.623231,942210987290487,352769487489998,942210931290487,942210929290487,942210954290487,,
1852371,4,17,3,31,20083,1,1,5,5,,,,,1,3.0,6918,55,,,,5.7,0.0,1,,31.0,,3.0,,,,,,,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,3.0,,,,,56.0,0.17720046,6.0180462857,52.833399,8.088482,111.228208,17.028384,47.632614,8.861837,26.080142,4.337738,,,71.791562,13.356503,8.260925,1.536909,,,,,1.468335,0.42381,0.254653,0.073501,0.490076,0.141452,1.292135,0.381429,1.438968,0.42381,0.24956,0.073501,0.480275,0.141452,,,,,,,2.213065,0.638764,2.168803,0.638764,942210985290487,352769487489998,942210931290487,942210929290487,942210952290487,,
1852371,4,17,3,31,20083,1,1,21,21,,,,,1,3.0,6918,55,,,,5.4,0.0,1,5.4,32.0,,1.0,,,,,,,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,3.0,,,,,56.0,0.15903864,6.0180462857,48.228321,7.275713,101.533307,15.317291,42.075424,7.701888,22.067249,3.91751,,,67.170523,12.295535,7.532117,1.378751,,,,,1.293091,0.374242,0.231482,0.066995,0.539758,0.156215,1.13792,0.336818,1.267229,0.374242,0.226853,0.066995,0.528962,0.156215,,,,,,,2.064331,0.597452,2.023044,0.597452,942211001290487,352769487489998,942210931290487,942210929290487,942210968290487,,
1852501,4,17,3,31,20024,1,1,1,1,,,,,1,3.0,972,41,,,,9.3,0.0,1,,28.0,,1.0,,,,,,,3.0,65.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0,,,,,3.0,,,,,60.0,0.47171646,6.0180462857,180.299196,15.565469,377.985736,32.632011,140.066892,38.301208,162.5519,6.465457,,,169.173455,46.260381,21.518371,5.884186,,,,,3.78013,1.412723,0.580739,0.217036,0.20479,0.076535,2.948501,1.144305,3.666726,1.412723,0.563316,0.217036,0.198647,0.076535,,,,,,,4.565659,1.706293,4.428689,1.706293,785697079290487,352769585489998,785697064290487,785697061290487,785697077290487,,
1837445,4,17,3,197,20088,14,1,49,49,,,,,1,2.0,6918,55,,,,1.5,0.0,1,,13.0,,1.0,,,,,,,5.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,52.0,0.0122715,74.9652824512,1.665205,0.466185,3.505695,0.981442,,,0.627278,0.394644,,,2.289029,0.589387,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07176,0.031341,0.07176,0.031341,491757226126144,352769774489998,491757123126144,491757118126144,491757176126144,,
1837445,4,17,3,197,20088,1,1,44,44,,,,,1,3.0,681,42,,,,5.2,0.0,1,7.0,41.0,,1.0,,,,,,,4.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,3.0,,,,,52.0,0.14747616,6.0180462857,57.443503,9.40805,112.4139,18.411056,49.891637,8.167525,18.314479,3.589817,,,80.8619,13.237521,7.407429,1.212635,,,,,1.532573,0.423815,0.227542,0.062924,0.723804,0.200159,1.36399,0.385671,1.501922,0.423815,0.222991,0.062924,0.709328,0.200159,,,,,,,2.483919,0.686898,2.43424,0.686898,491757221126144,352769774489998,491757119126144,491757118126144,491757173126144,,
1837445,4,17,3,197,20088,1,1,28,28,,,,,1,3.0,317,32,,,,6.7,0.0,1,,54.0,,1.0,,,,,,,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,3.0,,,,,52.0,0.24483006,6.0180462857,129.909942,18.396106,271.778121,38.485577,135.793571,17.352318,78.427711,8.757298,,,171.442687,21.907724,12.275757,1.568652,,,,,4.339672,0.367224,0.392307,0.033197,0.746963,0.063208,3.601928,0.315812,4.209482,0.367224,0.380538,0.033197,0.724554,0.063208,,,,,,,5.478942,0.463629,5.314573,0.463629,491757205126144,352769774489998,491757119126144,491757118126144,491757159126144,,
1837445,4,17,3,197,20088,1,1,17,17,,,,,1,2.0,317,32,,,,5.3,0.0,1,5.4,58.0,,1.0,,,,,,,5.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,2.0,,,,,52.0,0.15320286,6.0180462857,76.434026,11.739363,159.90382,24.559337,78.520301,10.43777,25.750427,5.420318,,,118.412693,15.7407,7.969499,1.059392,,,,,2.517939,0.211395,0.255561,0.021456,1.023683,0.085944,2.517939,0.213509,2.49276,0.211395,0.253005,0.021456,1.013446,0.085944,,,,,,,3.797183,0.318795,3.759211,0.318795,491757194126144,352769774489998,491757119126144,491757118126144,491757148126144,,
