VALUE,ABBR,MEANING,RETIRED
1,225+ cuft/ac/yr,225+ cubic feet/acre/year.,N
2,165-224 cuft/ac/yr,165-224 cubic feet/acre/year.,N
3,120-164 cuft/ac/yr,120-164 cubic feet/acre/year.,N
4,85-119 cuft/ac/yr,85-119 cubic feet/acre/year.,N
5,50-84 cuft/ac/yr,50-84 cubic feet/acre/year.,N
6,20-49 cuft/ac/yr,20-49 cubic feet/acre/year.,N
7,0-19 cuft/ac/yr,0-19 cubic feet/acre/year.,N
