PLOTID,VISIT_NBR,STATECD,UNITCD,COUNTYCD,RETIRED_PLOT,SUBP,CONDID,TREE,STATUSCD,STANDING_DEAD_CD,TPA_UNADJ,SPCD,SPGRPCD,DIA,DIACHECK,DIAHTCD,CROWN_DIEBACK_CD,CROWN_LIGHT_EXPOSURE,UNCOMP_CROWN_RATIO,CROWN_DIA_WIDE,CROWN_DIA_90,AVG_CROWN_WIDTH,FOLIAGE_ABSENT,IS_MAINTAINED_AREA,IS_RIPARIAN,IS_STREET_TREE,IS_PLANTED,NBR_STEMS,BASAL_AREA,GROSS_CARBON_SEQUESTRATION,ITREE_ECO_VERSION,DRY_TOT_BIOMASS_ITREE,CARBON_STORAGE_ITREE,GROSS_C_SEQUESTRATION_ITREE,LEAF_AREA_ITREE,LEAF_BIOMASS_ITREE,CROWN_GROUND_AREA_ITREE,LEAF_AREA_INDEX_ITREE,LEAF_BIOMASS_INDEX_ITREE,COMPENSATORY_VALUE_ITREE,NO2_ACUTE_RESPIRATORY_SYMPTOMS_INCIDENCE,NO2_ASTHMA_EXACERBATION_INCIDENCE,NO2_EMERGENCY_ROOM_VISITS_INCIDENCE,NO2_HOSPITAL_ADMISSIONS_INCIDENCE,NO2_ACUTE_RESPIRATORY_SYMPTOMS_VALUE,NO2_ASTHMA_EXACERBATION_VALUE,NO2_EMERGENCY_ROOM_VISITS_VALUE,NO2_HOSPITAL_ADMISSIONS_VALUE,SO2_ACUTE_RESPIRATORY_SYMPTOMS_INCIDENCE,SO2_ASTHMA_EXACERBATION_INCIDENCE,SO2_EMERGENCY_ROOM_VISITS_INCIDENCE,SO2_HOSPITAL_ADMISSIONS_INCIDENCE,SO2_ACUTE_RESPIRATORY_SYMPTOMS_VALUE,SO2_ASTHMA_EXACERBATION_VALUE,SO2_EMERGENCY_ROOM_VISITS_VALUE,SO2_HOSPITAL_ADMISSIONS_VALUE,O3_ACUTE_RESPIRATORY_SYMPTOMS_INCIDENCE,O3_EMERGENCY_ROOM_VISITS_INCIDENCE,O3_HOSPITAL_ADMISSIONS_INCIDENCE,O3_MORTALITY_INCIDENCE,O3_SCHOOL_LOSS_DAYS_INCIDENCE,O3_ACUTE_RESPIRATORY_SYMPTOMS_VALUE,O3_EMERGENCY_ROOM_VISITS_VALUE,O3_HOSPITAL_ADMISSIONS_VALUE,O3_MORTALITY_VALUE,O3_SCHOOL_LOSS_DAYS_VALUE,PM2_5_ACUTE_BRONCHITIS_INCIDENCE,PM2_5_ACUTE_MYOCARDIAL_INFARCTION_INCIDENCE,PM2_5_ACUTE_RESPIRATORY_SYMPTOMS_INCIDENCE,PM2_5_ASTHMA_EXACERBATION_INCIDENCE,PM2_5_CHRONIC_BRONCHITIS_INCIDENCE,PM2_5_EMERGENCY_ROOM_VISITS_INCIDENCE,PM2_5_HOSPITAL_ADMISSIONS_CARDIOVASCULAR_INCIDENCE,PM2_5_HOSPITAL_ADMISSIONS_RESPIRATORY_INCIDENCE,PM2_5_LOWER_RESPIRATORY_SYMPTOMS_INCIDENCE,PM2_5_MORTALITY_INCIDENCE,PM2_5_UPPER_RESPIRATORY_SYMPTOMS_INCIDENCE,PM2_5_WORK_LOSS_DAYS_INCIDENCE,PM2_5_ACUTE_BRONCHITIS_VALUE,PM2_5_ACUTE_MYOCARDIAL_INFARCTION_VALUE,PM2_5_ACUTE_RESPIRATORY_SYMPTOMS_VALUE,PM2_5_ASTHMA_EXACERBATION_VALUE,PM2_5_CHRONIC_BRONCHITIS_VALUE,PM2_5_EMERGENCY_ROOM_VISITS_VALUE,PM2_5_HOSPITAL_ADMISSIONS_CARDIOVASCULAR_VALUE,PM2_5_HOSPITAL_ADMISSIONS_RESPIRATORY_VALUE,PM2_5_LOWER_RESPIRATORY_SYMPTOMS_VALUE,PM2_5_MORTALITY_VALUE,PM2_5_UPPER_RESPIRATORY_SYMPTOMS_VALUE,PM2_5_WORK_LOSS_DAYS_VALUE,CO_VALUE,O3_VALUE,PM10_VALUE,NO2_VALUE,PM2_5_VALUE,SO2_VALUE,CO_REMOVAL,O3_REMOVAL,PM10_REMOVAL,NO2_REMOVAL,PM2_5_REMOVAL,SO2_REMOVAL,AVOIDED_RUNOFF,RAINFALL_INTERCEPTION,EVAPORATION,TRANSPIRATION,POTENTIAL_EVAPORATION,POTENTIAL_EVAPOTRANSPIRATION,ISOPRENE_EMITTED,MONOTERPENE_EMITTED,CN,PLT_CN,SBP_CN,CND_CN,PREV_PLT_CN,PREV_MTRE_CN
1853030,4,17,3,43,20009,1,1,2,1,,6.0180462857,823,25,32.4,1.0,1,0.0,3.0,60.0,81.0,47.0,63.0,0.0,0,0,0,2,1,5.72539104,62.976815,6.0.35,12446.8067705813,6223.4033852906,60.823034391,13796.4967131323,277.6599441036,3117.2453108101,4.425861726,0.434888644,3290.976914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785695567290487,352769644489998,785695547290487,785695545290487,,
1795861,4,17,3,89,20067,1,1,8,1,,6.0180462857,762,41,6.8,0.0,1,0.0,1.0,27.0,18.0,17.0,20.0,0.0,0,0,0,2,1,0.25219296,6.16267,6.0.35,322.865585239,161.4327926636,11.0554210116,889.7868793099,14.1339163377,314.1592654019,2.832279603,0.219658725,86.99769754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785697965290487,352769646489998,785697941290487,785697937290487,,
1797320,4,17,3,111,20200,1,1,16,2,1.0,6.0180462857,762,41,7.0,0.0,1,,,,,,,,0,0,0,2,1,0.267246,0.0,6.0.35,346.6061188375,173.3030594187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785694471290487,352769647489998,785694437290487,785694434290487,,
1797320,4,17,3,111,20200,1,1,6,1,,6.0180462857,681,42,8.9,0.0,1,10.0,0.0,63.0,5.0,5.0,25.0,20.0,0,0,0,2,1,0.43201134,6.706154,6.0.35,702.6277445981,351.3138724093,12.4148729354,2237.1480739489,33.5189496243,490.8738521366,4.557480633,0.333392877,144.7788153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785694461290487,352769647489998,785694437290487,785694434290487,,
1797320,4,17,3,111,20200,1,1,7,1,,6.0180462857,681,42,7.5,0.0,1,25.0,0.0,0.0,3.0,3.0,23.0,55.0,0,0,0,2,1,0.3067875,5.094152,6.0.35,464.6487278876,232.324364054,8.1178322179,709.6591650822,10.632747147,415.4756284617,1.708064485,0.124949853,83.83967852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785694462290487,352769647489998,785694437290487,785694434290487,,
1797320,4,17,3,111,20200,1,1,15,2,1.0,6.0180462857,762,41,8.8,0.0,1,,,,,,,,0,0,0,2,1,0.42235776,0.0,6.0.35,606.8767314142,303.4383658173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785694470290487,352769647489998,785694437290487,785694434290487,,
1797328,4,17,3,111,20065,13,1,8,1,,74.9652824512,6918,55,3.4,0.0,1,0.0,2.0,85.0,10.0,8.0,11.0,10.0,0,0,0,2,2,0.06304824,2.315831,6.0.35,65.9385372598,32.9692686409,4.1770219239,251.1405082116,2.2861169071,95.0331777733,2.642661375,0.117451617,35.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785696309290487,352769648489998,785696275290487,785696269290487,,
1796129,4,17,3,93,20033,1,1,10,1,,6.0180462857,681,42,11.6,0.0,1,0.0,3.0,90.0,23.0,20.0,28.0,0.0,0,0,0,2,1,0.73389024,10.242333,6.0.35,1332.7971674215,666.398583821,25.5107582828,3604.5848736489,54.007108497,615.7521601015,5.853954086,0.428233657,1046.929004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785698419290487,352769650489998,785698396290487,785698391290487,,
1837534,4,17,3,197,20021,1,1,2,1,,6.0180462857,317,32,20.9,0.0,1,0.0,4.0,90.0,42.0,34.0,42.0,2.0,1,0,0,3,1,2.38236174,66.07521,6.0.35,3617.9745417675,1808.9872704428,69.9041179639,18721.1874552221,201.8212232053,1385.4423601208,13.51278696,0.711236747,2377.588521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785694541290487,352769651489998,785694526290487,785694523290487,,
1857132,1,17,3,31,23612,1,1,5,1,,6.0180462857,317,32,28.3,0.0,1,0.0,4.0,85.0,64.0,58.0,50.0,0.0,1,0,1,1,1,4.36805406,95.376387,6.0.35,5763.2032589084,2881.6016305565,85.8994814441,18208.931020987,196.2989121488,1963.4954087617,9.273732419,0.48811687,4350.628088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,707805265126144,352769670489998,707805244126144,707805238126144,,
