STATECD,UNITCD,COUNTYCD,COUNTYNM,CN,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE
26,4,21,Berrien,388010661,NIMS_DEV,2002-04-30 10:32:02,10661,,,
26,4,23,Branch,389010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
26,4,25,Calhoun,390010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
26,4,27,Cass,391010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
26,4,37,Clinton,392010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
26,4,45,Eaton,393010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
26,4,49,Genesee,394010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
26,4,57,Gratiot,395010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
26,4,59,Hillsdale,396010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
26,4,63,Huron,397010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
26,4,65,Ingham,398010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
26,4,67,Ionia,399010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
26,4,75,Jackson,400010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
26,4,77,Kalamazoo,401010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
26,4,81,Kent,402010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
26,4,87,Lapeer,403010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
26,4,91,Lenawee,404010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
26,4,93,Livingston,405010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
26,4,99,Macomb,406010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
26,4,115,Monroe,407010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
26,4,117,Montcalm,408010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
26,4,121,Muskegon,409010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
26,4,125,Oakland,410010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
26,4,139,Ottawa,411010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
26,4,145,Saginaw,412010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
26,4,147,St. Clair,413010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
26,4,149,St. Joseph,414010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
26,4,151,Sanilac,415010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
26,4,155,Shiawassee,894010661,NIMS_DEV,2002-04-30 10:32:06,10661,,,
26,4,157,Tuscola,416010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
26,4,159,Van Buren,417010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
26,4,161,Washtenaw,418010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
26,4,163,Wayne,419010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
27,1,17,Carlton,420010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
27,1,31,Cook,421010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
27,1,71,Koochiching,895010661,NIMS_DEV,2002-04-30 10:32:06,10661,,,
27,1,75,Lake,422010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
27,1,137,St. Louis,423010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
27,2,1,Aitkin,424010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
27,2,5,Becker,425010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
27,2,7,Beltrami,426010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
27,2,21,Cass,896010661,NIMS_DEV,2002-04-30 10:32:06,10661,,,
27,2,29,Clearwater,427010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
27,2,35,Crow Wing,428010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
27,2,57,Hubbard,429010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
27,2,61,Itasca,430010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
27,2,77,Lake of the Woods,897010661,NIMS_DEV,2002-04-30 10:32:06,10661,,,
27,2,87,Mahnomen,431010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
27,2,135,Roseau,432010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
27,2,159,Wadena,433010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
27,3,3,Anoka,434010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
27,3,9,Benton,435010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
27,3,19,Carver,436010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
27,3,25,Chisago,898010661,NIMS_DEV,2002-04-30 10:32:06,10661,,,
27,3,37,Dakota,437010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
27,3,41,Douglas,438010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
27,3,45,Fillmore,439010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
27,3,49,Goodhue,440010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
27,3,53,Hennepin,441010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
27,3,55,Houston,899010661,NIMS_DEV,2002-04-30 10:32:06,10661,,,
27,3,59,Isanti,442010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
27,3,65,Kanabec,443010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
27,3,79,Le Sueur,444010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
27,3,95,Mille Lacs,445010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
27,3,97,Morrison,446010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
27,3,109,Olmsted,900010661,NIMS_DEV,2002-04-30 10:32:06,10661,,,
27,3,111,Otter Tail,447010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
27,3,115,Pine,448010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
27,3,123,Ramsey,449010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
27,3,131,Rice,450010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
27,3,139,Scott,451010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
27,3,141,Sherburne,901010661,NIMS_DEV,2002-04-30 10:32:06,10661,,,
27,3,145,Stearns,452010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
27,3,153,Todd,453010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
27,3,157,Wabasha,454010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
27,3,163,Washington,455010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
27,3,169,Winona,456010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
27,3,171,Wright,457010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
27,4,11,Big Stone,458010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
27,4,13,Blue Earth,459010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
27,4,15,Brown,460010661,NIMS_DEV,2002-04-30 10:32:03,10661,,,
