PLOTID,VISIT_NBR,STATECD,UNITCD,COUNTYCD,RETIRED_PLOT,CONDID,FIA_VOLUME_LOCATION_GROUP,COND_STATUS_CD,COND_NONSAMPLE_REASN_CD,FIA_LANDUSE,RESERVCD,OWNGRPCD,OWNCD,PHYSCLCD,STDORGCD,STDORGSP,FLDTYPCD,FLDSZCD,FLDAGE,MAPDEN,CANOPY_CVR_SAMPLE_METHOD_CD,LIVE_CANOPY_CVR_PCT,LIVE_MISSING_CANOPY_CVR_PCT,NBR_LIVE_STEMS,AFFORESTATION_CD,PREV_AFFORESTATION_CD,CHAINING_CD,ITREE_LANDUSE,LAND_COVER_CLASS_CD,PRODUCTIVITY_STATUS,COND_SITECLASS_FLD,DISTURBANCE_CD1,DISTURBANCE_CD2,DISTURBANCE_CD3,DISTURBANCE_YEAR1,DISTURBANCE_YEAR2,DISTURBANCE_YEAR3,TREATMENT_CD1,TREATMENT_CD2,TREATMENT_CD3,TREATMENT_YEAR1,TREATMENT_YEAR2,TREATMENT_YEAR3,CN,PLT_CN,PREV_PLT_CN,INVASIVE_STATUS_CD,INVASIVE_NONSAMPLE_REASON_CD,SITE_CLASS_CD,SITE_CLASS_METHOD,SITE_CLASS_SIT_CN,SITE_INDEX,BALIVE,COVER_CLASS,FOREST_COND_STATUS_CHANGE_CD
1853039,5,17,3,43,20034,2,S23LCS,2,,17,0.0,30.0,32.0,,,,,,,,2,7,7.0,,0.0,,0.0,3.0,7.0,,,,,,,,,,,,,,,478152326489998,352769858489998,,1.0,,,,,,,,
1797331,6,17,3,111,20201,1,S23LCS,2,,14,0.0,40.0,46.0,,,,,,,,1,50,50.0,,0.0,,0.0,3.0,7.0,,,,,,,,,,,,,,,478152413489998,352769861489998,,1.0,,,,,,55.7328,,
1917892,5,18,4,89,20163,1,S23LCS,2,,13,0.0,40.0,46.0,,,,,,,,1,0,0.0,,0.0,,0.0,2.0,9.0,,,,,,,,,,,,,,,478152510489998,352769865489998,,2.0,,,,,,,,
1857047,2,17,3,31,23508,3,S23LCS,2,,13,0.0,40.0,46.0,,,,,,,,1,0,0.0,,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,942082708290487,559740545126144,352769810489998.0,2.0,,,,,,,9.0,0.0
1856965,2,17,3,31,23428,2,S23LCS,2,,17,0.0,30.0,32.0,,,,,,,,1,40,40.0,,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,942083186290487,559740553126144,352769806489998.0,2.0,,,,,,45.2181,1.0,0.0
1857696,2,17,3,31,21832,2,S23LCS,2,,17,0.0,30.0,31.0,,,,,,,,1,5,5.0,,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,942083780290487,559740555126144,352769804489998.0,2.0,,,,,,,1.0,0.0
1857913,2,17,3,31,22176,2,S23LCS,2,,17,0.0,40.0,46.0,,,,,,,,1,15,15.0,,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,942083483290487,559740563126144,352769819489998.0,2.0,,,,,,42.8273,1.0,0.0
1855691,2,17,3,31,22147,1,S23LCS,2,,13,0.0,30.0,32.0,,,,,,,,1,5,5.0,,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,942085140290487,559740567126144,352769821489998.0,1.0,,,,,,,3.0,0.0
1469919,4,55,5,59,20011,1,S23LLS,2,,14,0.0,40.0,46.0,,,,,,,,1,40,40.0,,0.0,,0.0,3.0,7.0,,,,,,,,,,,,,,,505940842126144,923671,,1.0,,,,,,29.9509,,
1469153,1,55,5,59,22205,1,S23LLS,5,2.0,16,,40.0,46.0,,,,,,,,1,17,17.0,,,,,,7.0,,,,,,,,,,,,,,,707807270126144,923686,,,,,,,,,,
1467909,1,55,5,59,21583,1,S23LLS,1,,10,0.0,40.0,46.0,21.0,0.0,,517.0,2.0,20.0,1.0,1,63,63.0,,0.0,,0.0,1.0,1.0,1.0,,12.0,,,9999.0,,,,,,,,,707805034126144,923689,,1.0,,6.0,1.0,707805049126144.0,61.0,54.3975,,
1469103,1,55,5,59,22180,4,S23LLS,2,,14,0.0,40.0,46.0,,,,,,,,1,5,5.0,,0.0,,0.0,3.0,,,,,,,,,,,,,,,,785697282290487,923699,,1.0,,,,,,,1.0,
1469838,5,55,5,59,20025,1,S23LLS,1,,10,0.0,40.0,46.0,22.0,0.0,,809.0,3.0,66.0,1.0,1,80,80.0,,0.0,,0.0,1.0,,1.0,,,,,,,,,,,,,,942084734290487,924013,,1.0,,5.0,1.0,942084745290487.0,63.0,88.2001,1.0,
1467748,1,55,5,59,21502,2,S23LLS,2,,17,0.0,30.0,32.0,,,,,,,,1,12,,,0.0,,0.0,3.0,,,,,,,,,,,,,,,,1287172456290487,924142,,1.0,,,,,,212.1272,1.0,
1468516,1,55,5,59,21886,2,S23LLS,2,,13,0.0,40.0,46.0,,,,,,,,1,2,,,0.0,,0.0,2.0,,,,,,,,,,,,,,,,1287174807290487,924144,,1.0,,,,,,,3.0,
1856819,1,17,3,31,23196,1,S23LCS,2,,16,1.0,30.0,32.0,,,,,,,,1,0,0.0,,0.0,,0.0,5.0,,,,,,,,,,,,,,,,785693898290487,352769388489998,,2.0,,,,,,,3.0,
1857679,1,17,3,31,21849,1,S23LCS,5,2.0,15,,40.0,46.0,,,,,,,,1,10,10.0,,,,,,,,,,,,,,,,,,,,,785695657290487,352769391489998,,,,,,,,,1.0,
