VALUE,ABBR,MEANING,RETIRED
0,Natural,"Natural – present stand shows no clear evidence of artificial regeneration. Includes unplanted, recently cut lands",N
1,Artificial,Artificial – present stand shows clear evidence of artificial regeneration,N
