PROJECT_NAME,LOAD_TYPE,BEGIN_INVYR_LOADED,END_INVYR_LOADED,LATEST_LOAD_DATE,CURRENT_CDS,RECORDS_LOADED,CREATED_DATE,MODIFIED_DATE
"FIA-Urban Inventory of Portland, OR",PROJECT,2018,2022,2024-11-08 09:09:09,FIA Urban-10,9.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Portland, OR",INVENTORY,2018,2022,2024-08-23 06:39:25,FIA Urban-10,303.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Portland, OR",STAT_SAMP,2018,2022,2024-11-08 09:10:44,FIA Urban-10,16.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Portland, OR",ITREE_DATA,2018,2022,2024-10-29 14:43:17,FIA Urban-10,,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Baltimore, MD",MODELED,2014,2022,2024-08-22 13:35:10,FIA Urban-10,76.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Baltimore, MD",PROJECT,2014,2022,2024-11-08 09:09:07,FIA Urban-10,9.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Baltimore, MD",INVENTORY,2014,2022,2024-08-22 14:07:03,FIA Urban-10,419.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Baltimore, MD",STAT_SAMP,2014,2022,2024-11-08 09:10:34,FIA Urban-10,12.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Baltimore, MD",ITREE_DATA,2014,2022,2024-12-02 07:31:58,FIA Urban-10,,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Cleveland, OH",MODELED,2016,2022,2024-09-11 09:04:38,FIA Urban-10,62.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Cleveland, OH",PROJECT,2016,2022,2024-11-08 09:09:08,FIA Urban-10,7.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Cleveland, OH",INVENTORY,2016,2022,2024-09-12 09:21:48,FIA Urban-10,283.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Cleveland, OH",STAT_SAMP,2016,2022,2024-11-08 09:10:59,FIA Urban-10,4.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Cleveland, OH",ITREE_DATA,2016,2022,2024-10-29 14:28:22,FIA Urban-10,,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Milwaukee, WI",MODELED,2015,2022,2024-08-22 13:36:46,FIA Urban-10,66.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Milwaukee, WI",PROJECT,2015,2022,2024-11-08 09:09:09,FIA Urban-10,8.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Milwaukee, WI",INVENTORY,2015,2022,2024-09-11 08:32:08,FIA Urban-10,523.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Milwaukee, WI",STAT_SAMP,2015,2022,2024-11-08 09:11:01,FIA Urban-10,8.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Milwaukee, WI",ITREE_DATA,2015,2022,2024-10-08 14:48:43,FIA Urban-10,,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Rochester, NY",MODELED,2016,2022,2024-11-08 10:08:59,FIA Urban-10,72.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Rochester, NY",PROJECT,2016,2022,2024-11-08 10:17:49,FIA Urban-10,7.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Rochester, NY",INVENTORY,2016,2022,2024-11-08 10:16:15,FIA Urban-10,243.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Rochester, NY",STAT_SAMP,2016,2022,2024-11-08 10:26:32,FIA Urban-10,4.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Rochester, NY",ITREE_DATA,2016,2022,2024-11-08 10:32:16,FIA Urban-10,,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of San Diego, CA",MODELED,2017,2021,2024-08-22 13:35:11,FIA Urban-10,83.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of San Diego, CA",PROJECT,2017,2021,2024-11-08 09:09:10,FIA Urban-10,9.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of San Diego, CA",INVENTORY,2017,2021,2024-08-23 07:07:05,FIA Urban-10,348.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of San Diego, CA",STAT_SAMP,2017,2021,2024-11-08 09:10:48,FIA Urban-10,20.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of San Diego, CA",ITREE_DATA,2017,2021,2024-10-29 14:46:38,FIA Urban-10,,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of St. Louis, MO",MODELED,2015,2022,2024-08-22 13:35:11,FIA Urban-10,78.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of St. Louis, MO",PROJECT,2015,2022,2024-11-08 09:09:10,FIA Urban-10,12.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of St. Louis, MO",INVENTORY,2015,2022,2024-08-22 14:27:27,FIA Urban-10,725.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of St. Louis, MO",STAT_SAMP,2015,2022,2024-11-08 09:10:55,FIA Urban-10,16.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of St. Louis, MO",ITREE_DATA,2015,2022,2024-10-29 14:48:58,FIA Urban-10,,2024-12-05 07:40:43,2025-05-08 07:27:43
