PLOTID,VISIT_NBR,STATECD,UNITCD,COUNTYCD,RETIRED_PLOT,SUBP,CONDID,TREE,STEM_NBR,STATUSCD,DIA,CN,PLT_CN,SBP_CN,CND_CN,MTRE_CN,TRE_CN,PREV_PLT_CN
1469478,1,55,5,59,22292,1,1,6,4,1,4.8,785694735290487,923693,785694652290487,785694646290487,1262762419290487,785694683290487,
1469478,1,55,5,59,22292,1,1,6,2,1,2.7,785694733290487,923693,785694652290487,785694646290487,1262762419290487,785694683290487,
1469478,1,55,5,59,22292,1,1,6,5,2,2.1,785694736290487,923693,785694652290487,785694646290487,1262762419290487,785694683290487,
1469478,1,55,5,59,22292,1,1,6,6,1,4.2,785694737290487,923693,785694652290487,785694646290487,1262762419290487,785694683290487,
1469478,1,55,5,59,22292,1,1,6,1,1,2.8,785694732290487,923693,785694652290487,785694646290487,1262762419290487,785694683290487,
1469478,1,55,5,59,22292,1,1,6,3,1,2.7,785694734290487,923693,785694652290487,785694646290487,1262762419290487,785694683290487,
