PLOTID,VISIT_NBR,STATECD,UNITCD,COUNTYCD,RETIRED_PLOT,SUBP,CONDID,CONDPROP_UNADJ,PCT_TREE_COVER,PCT_SHRUB_SEED_COVER,GR_COV_PCT_BLDG,GR_COV_PCT_IMPERVIOUS,GR_COV_PCT_PERMEABLE,GR_COV_PCT_HERBACEOUS,GR_COV_PCT_WATER,CN,PLT_CN,SBP_CN,CND_CN,PREV_PLT_CN
1857043,2,17,3,31,23512,14,1,1.0,,,,,,,,1287853635290487,992948052290487,1287853625290487,1287853618290487,352769665489998.0
1857132,2,17,3,31,23612,13,1,0.7608086507,,,,,,,,1287852762290487,992948058290487,1287852751290487,1287852742290487,352769670489998.0
1857132,2,17,3,31,23612,14,1,1.0,,,,,,,,1287852763290487,992948058290487,1287852752290487,1287852742290487,352769670489998.0
1856944,2,17,3,31,23368,13,1,1.0,,,,,,,,1287853264290487,992948061290487,1287853251290487,1287853241290487,352769683489998.0
1855295,2,17,3,31,24545,1,1,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1287856576290487,992948064290487,1287856539290487,1287855256290487,352769686489998.0
1855295,2,17,3,31,24545,13,1,1.0,,,,,,,,1287856591290487,992948064290487,1287855504290487,1287855256290487,352769686489998.0
1856930,2,17,3,31,23328,14,1,1.0,,,,,,,,1287856553290487,992948067290487,1287855386290487,1287855263290487,352769682489998.0
1856785,2,17,3,31,23176,11,1,1.0,,,,,,,,1287854186290487,992948070290487,1287854174290487,1287854167290487,352769662489998.0
1837512,4,17,3,197,20081,14,1,1.0,,,,,,,,942084539290487,352769559489998,942084531290487,942084526290487,
1852497,4,17,3,31,20111,14,1,1.0,,,,,,,,942083458290487,352769566489998,942083453290487,942083446290487,
1795845,4,17,3,89,20023,12,1,0.3475035062,,,,,,,,942084107290487,352769569489998,942084090290487,942084083290487,
1853005,4,17,3,43,20004,11,1,1.0,,,,,,,,942084623290487,352769570489998,942084613290487,942084608290487,
1853005,4,17,3,43,20004,13,1,1.0,,,,,,,,942084625290487,352769570489998,942084615290487,942084608290487,
1795888,4,17,3,89,20019,13,1,1.0,,,,,,,,942083896290487,352769572489998,942083883290487,942083878290487,
1789905,4,17,3,63,20073,13,1,1.0,,,,,,,,942085020290487,352769576489998,942085008290487,942085001290487,
1915171,4,18,4,89,20095,12,1,1.0,,,,,,,,942083152290487,352769579489998,942083138290487,942083133290487,
1852501,4,17,3,31,20024,13,1,1.0,,,,,,,,785697075290487,352769585489998,785697067290487,785697061290487,
1856864,1,17,3,31,23286,11,1,1.0,,,,,,,,785694273290487,352769588489998,785694268290487,785694265290487,
1857624,1,17,3,31,21769,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,785695907290487,352769589489998,785695902290487,785695901290487,
1857624,1,17,3,31,21769,12,1,1.0,,,,,,,,785695909290487,352769589489998,785695904290487,785695901290487,
