DB_VERSION,DESCRIPTION,START_DATE,RETIRED_DATE,IS_ACTIVE
8.0.01,THIS IS RELEASE 01 FVS VERSION 8.0 PROD,2019-07-05 00:00:00,2019-12-13 00:00:00,N
8.0.01,THIS IS RELEASE 01 SPATIAL VERSION 8.0 PROD,2019-07-05 00:00:00,2019-12-13 00:00:00,N
8.0.02,THIS IS RELEASE 02 OF FVS VERSION 8.0 PROD,2019-12-13 00:00:00,2020-06-10 00:00:00,N
8.0.02,THIS IS RELEASE 02 OF SPATIAL VERSION 8.0 PROD,2019-12-13 00:00:00,2020-06-10 00:00:00,N
8.0.03,THIS IS RELEASE 03 OF FVS VERSION 8.0 PROD,2020-06-10 00:00:00,2021-04-30 00:00:00,N
8.0.03,THIS IS RELEASE 03 OF SPATIAL VERSION 8.0 PROD,2020-06-10 00:00:00,2021-04-30 00:00:00,N
9.0.00,THIS IS FVS VERSION 9.0 PROD,2021-04-30 00:00:00,2021-07-16 00:00:00,N
9.0.00,THIS IS SPATIAL VERSION 9.0 PROD,2021-04-30 00:00:00,2021-07-16 00:00:00,N
9.0.01,THIS IS FVS VERSION 9.0 PROD,2021-07-16 00:00:00,2022-06-10 00:00:00,N
9.0.01,THIS IS SPATIAL VERSION 9.0 PROD,2021-07-16 00:00:00,2022-06-10 00:00:00,N
9.0.02,THIS IS RELEASE 02 OF FVS VERSION 9.0 PROD,2022-06-10 00:00:00,2023-06-28 00:00:00,N
9.0.02,THIS IS RELEASE 02 OF SPATIAL VERSION 9.0 PROD,2022-06-10 00:00:00,2023-05-30 00:00:00,N
9.1.00,THIS IS FVS VERSION 9.1 PROD,2023-06-28 00:00:00,9999-12-31 00:00:00,Y
1.1.0,"Report views, Urban FIADB publishing, minor tweaks   ",2018-11-02 00:00:00,2019-04-05 00:00:00,N
1.0.0,"Initial ""baseline"" release of FS_UNIMS. This release holds the basic UNIMS table structure. Much of the view and package logic is not yet be in place, but will be created in the FS_FIADB_URBAN and FS_FIADB_URBAN_ANLYS schemas.     ",2018-08-24 00:00:00,2018-11-02 00:00:00,N
1.3.0,"Build out ETL support for Midas, ITree and My City's Trees. Minor bug fixes/updates.",2019-09-27 00:00:00,2020-02-14 00:00:00,N
1.2.0,Design a flexible and efficient compilation approach. Implement Urban compilation. Generalize ETL capability. Minor bug fixes/updates.,2019-04-05 00:00:00,2019-09-27 00:00:00,N
1.3.2,Performance upgrade for package Cmp_Utils and support for post-field coordinate management. Other minor fixes and improvements.,2020-02-21 00:00:00,2020-04-20 00:00:00,N
1.3.4,Deploys the FS_FIA_REFERENCE schema with a base objects and a single REF table.,2020-05-14 00:00:00,2020-10-01 00:00:00,N
