PLOTID,VISIT_NBR,STATECD,UNITCD,COUNTYCD,RETIRED_PLOT,SUBP,CENTER_CONDID,REMAINING_CONDID,SUBP_STATUS_CD,SUBP_NONSAMPLE_REASN_CD,SLOPE,ASPECT,WATER_DEPTH,CN,PLT_CN,CENTER_CND_CN,REMAINING_CND_CN,PREV_PLT_CN
1852332,4,17,3,31,20010,13,1,1,2,,,,0.0,785696025290487,352769601489998,785696018290487,,
1857977,1,17,3,31,22301,12,1,1,2,,,,0.0,785695214290487,352769606489998,785695205290487,,
1857977,1,17,3,31,22301,14,1,1,2,,,,0.0,785695216290487,352769606489998,785695205290487,,
1855674,1,17,3,31,22164,14,1,1,4,2.0,,,,785695277290487,352769607489998,785695271290487,,
1857817,1,17,3,31,22064,13,1,1,2,,,,0.0,785697147290487,352769608489998,785697141290487,,
1855519,1,17,3,31,23400,1,1,1,2,,,,0.0,785694395290487,352769612489998,785694389290487,785694389290487.0,
1855519,1,17,3,31,23400,11,1,1,2,,,,0.0,785694396290487,352769612489998,785694389290487,,
1854669,1,17,3,31,23592,12,1,1,2,,,,0.0,785693647290487,352769614489998,785693638290487,,
1854669,1,17,3,31,23592,13,1,1,2,,,,0.0,785693648290487,352769614489998,785693638290487,,
1852353,4,17,3,31,20022,1,1,1,2,,,,0.0,785693715290487,352769618489998,785693711290487,785693712290487.0,
1852430,4,17,3,31,20065,13,1,1,2,,,,0.0,785698897290487,352769619489998,785698891290487,,
1852364,4,17,3,31,20006,11,2,2,1,,2.0,0.0,0.0,785695321290487,352769620489998,785695314290487,,
1837455,4,17,3,197,20165,13,1,1,2,,,,0.0,785695429290487,352769621489998,785695423290487,,
1852442,4,17,3,31,20004,11,1,1,2,,,,0.0,785698267290487,352769622489998,785698261290487,,
1852442,4,17,3,31,20004,12,2,2,2,,,,0.0,785698269290487,352769622489998,785698262290487,,
1852446,4,17,3,31,20030,1,1,1,2,,,,0.0,785698919290487,352769623489998,785698917290487,785698917290487.0,
1852454,4,17,3,31,20207,12,1,1,2,,,,0.0,785697789290487,352769624489998,785697783290487,,
1852454,4,17,3,31,20207,13,1,1,2,,,,0.0,785697790290487,352769624489998,785697783290487,,
1852504,4,17,3,31,20044,14,1,1,2,,,,0.0,785698348290487,352769625489998,785698338290487,,
1852426,4,17,3,31,20011,12,1,1,1,,2.0,0.0,0.0,785696050290487,352769627489998,785696041290487,,
1796315,4,17,3,97,20064,1,1,1,2,,,,0.3,785696155290487,352769631489998,785696152290487,785696152290487.0,
1796315,4,17,3,97,20064,13,1,1,2,,,,0.3,785696158290487,352769631489998,785696152290487,,
1796355,4,17,3,97,29990,14,1,1,2,,,,0.0,785697185290487,352769632489998,785697179290487,,
1795849,4,17,3,89,20013,12,1,1,2,,,,0.0,785693752290487,352769634489998,785693748290487,,
1795849,4,17,3,89,20013,13,1,1,2,,,,0.0,785693753290487,352769634489998,785693748290487,,
1853021,4,17,3,43,20002,12,1,1,2,,,,0.0,785697205290487,352769635489998,785697200290487,,
1837516,4,17,3,197,20168,11,1,1,2,,,,0.0,785693779290487,352769636489998,785693776290487,,
1837516,4,17,3,197,20168,13,1,1,2,,,,0.0,785693781290487,352769636489998,785693776290487,,
1837516,4,17,3,197,20168,14,1,1,2,,,,0.0,785693782290487,352769636489998,785693776290487,,
1837451,4,17,3,197,20160,13,1,1,1,,0.0,0.0,0.0,785696190290487,352769637489998,785696181290487,,
1797360,4,17,3,111,20072,12,1,1,2,,,,0.0,785697234290487,352769639489998,785697230290487,,
1796379,4,17,3,97,20031,1,1,1,2,,,,0.0,785697897290487,352769640489998,785697894290487,785697894290487.0,
1796379,4,17,3,97,20031,11,1,1,2,,,,0.0,785697898290487,352769640489998,785697894290487,,
1853052,4,17,3,43,20064,13,1,1,2,,,,0.0,785697922290487,352769641489998,785697917290487,,
1795861,4,17,3,89,20067,13,1,1,1,,17.0,196.0,0.0,785697944290487,352769646489998,785697937290487,,
1797320,4,17,3,111,20200,14,1,1,1,,2.0,0.0,0.0,785694441290487,352769647489998,785694434290487,,
1796103,4,17,3,93,20014,12,1,1,3,,,,0.9,785699059290487,352769649489998,785699056290487,,
1837534,4,17,3,197,20021,14,1,1,2,,,,0.0,785694530290487,352769651489998,785694523290487,,
1837518,4,17,3,197,20024,13,1,1,4,2.0,,,,785698453290487,352769652489998,785698448290487,,
1917561,4,18,4,127,20069,1,1,1,1,,14.0,10.0,0.0,785694582290487,352769655489998,785694578290487,785694578290487.0,
1917561,4,18,4,127,20069,11,1,1,1,,14.0,10.0,0.0,785694583290487,352769655489998,785694578290487,,
1917561,4,18,4,127,20069,14,1,1,1,,14.0,10.0,0.0,785694586290487,352769655489998,785694578290487,,
1915993,4,18,4,89,20101,14,1,1,2,,,,0.0,785699095290487,352769656489998,785699089290487,,
1856785,1,17,3,31,23176,1,1,1,2,,,,0.0,707806103126144,352769662489998,707806097126144,707806097126144.0,
1854661,1,17,3,31,23222,12,1,1,2,,,,0.0,707806614126144,352769663489998,707806602126144,,
1856854,1,17,3,31,23296,11,1,1,2,,,,0.0,707806650126144,352769664489998,707806643126144,,
1857043,1,17,3,31,23512,12,1,1,2,,,,0.0,707807317126144,352769665489998,707807312126144,,
1856960,1,17,3,31,23433,13,1,1,2,,,,0.0,707805162126144,352769667489998,707805156126144,,
1856960,1,17,3,31,23433,14,1,1,2,,,,0.0,707805163126144,352769667489998,707805156126144,,
1857636,1,17,3,31,21757,13,1,1,2,,,,0.0,707806725126144,352769669489998,707806720126144,,
1857132,1,17,3,31,23612,1,1,1,2,,,,0.0,707805244126144,352769670489998,707805238126144,707805238126144.0,
1857132,1,17,3,31,23612,13,1,1,2,,,,0.0,707805247126144,352769670489998,707805238126144,,
1857063,1,17,3,31,23492,11,1,1,2,,,,0.0,707805536126144,352769671489998,707805531126144,,
1857063,1,17,3,31,23492,12,1,1,2,,,,0.0,707805537126144,352769671489998,707805531126144,,
1857101,1,17,3,31,23562,14,1,1,2,,,,0.0,707807337126144,352769675489998,707807332126144,,
1857103,1,17,3,31,23560,12,1,1,2,,,,0.0,707805835126144,352769676489998,707805825126144,,
1857070,1,17,3,31,23539,13,1,1,2,,,,0.0,707807090126144,352769677489998,707807077126144,,
1857750,1,17,3,31,22020,11,1,1,2,,,,0.0,707806789126144,352769678489998,707806780126144,,
1857750,1,17,3,31,22020,13,1,1,2,,,,0.0,707806791126144,352769678489998,707806780126144,,
1854876,1,17,3,31,22214,1,1,1,2,,,,0.0,707806369126144,352769679489998,707806360126144,707806360126144.0,
1857806,1,17,3,31,22075,11,1,1,2,,,,0.0,707805311126144,352769680489998,707805304126144,,
1852384,4,17,3,31,20155,12,1,1,2,,,,0.0,707806865126144,352769684489998,707806856126144,,
1855295,1,17,3,31,24545,1,1,1,2,,,,0.0,707805854126144,352769686489998,707805853126144,707805853126144.0,
1852348,4,17,3,31,20149,11,1,1,2,,,,0.0,707805645126144,352769689489998,707805640126144,,
1837411,4,17,3,197,20067,13,1,1,2,,,,0.0,707805895126144,352769690489998,707805889126144,,
1852460,4,17,3,31,20001,12,1,1,1,,3.0,0.0,0.0,707807355126144,352769691489998,707807349126144,,
1853053,4,17,3,43,29990,14,1,1,2,,,,0.0,707807133126144,352769692489998,707807127126144,,
1469843,6,55,5,59,20094,1,1,1,2,,,,0.0,478152646489998,923417,478152644489998,478152644489998.0,
1469516,1,55,5,59,22311,11,1,1,2,,,,0.0,478152688489998,923463,478152685489998,,
1469295,1,55,5,59,22215,12,1,1,2,,,,0.0,478152718489998,923464,478152715489998,,
1469295,1,55,5,59,22215,14,1,1,2,,,,0.0,478152720489998,923464,478152715489998,,
1469621,5,55,5,59,20042,11,1,1,2,,,,0.0,491757690126144,923565,491757688126144,,
1469732,5,55,5,59,20053,1,1,1,2,,,,0.0,707806319126144,923571,707806316126144,707806316126144.0,
1469732,5,55,5,59,20053,12,1,1,2,,,,0.0,707806321126144,923571,707806316126144,,
1469784,5,55,5,59,20076,14,1,1,2,,,,0.0,785696360290487,923575,785696352290487,,
1468979,1,55,5,59,22118,14,1,1,2,,,,0.0,491757790126144,923672,491757784126144,,
1469468,1,55,5,59,22287,11,1,1,2,,,,0.0,491757833126144,923674,491757831126144,,
1467836,1,55,5,59,21546,1,1,1,1,,3.0,0.0,0.0,707804906126144,923687,707804901126144,707804901126144.0,
1467836,1,55,5,59,21546,12,1,1,1,,3.0,0.0,0.0,707804908126144,923687,707804901126144,,
1467887,1,55,5,59,21572,13,1,1,2,,,,0.0,707805473126144,923688,707805467126144,,
1469881,4,55,5,59,20272,12,1,1,2,,,,0.0,785698008290487,923692,785697999290487,,
1469881,4,55,5,59,20272,14,1,1,2,,,,0.0,785698010290487,923692,785697999290487,,
1469838,5,55,5,59,20025,14,1,1,1,,2.0,0.0,0.3,942084740290487,924013,942084734290487,,
1469927,4,55,5,59,20071,14,1,1,2,,,,0.0,942165011290487,924135,942165000290487,,
1467826,1,55,5,59,21541,14,1,1,2,,,,0.0,1287177480290487,924143,1287177472290487,,
1856819,1,17,3,31,23196,1,1,1,2,,,,0.0,785693900290487,352769388489998,785693898290487,785693898290487.0,
1856819,1,17,3,31,23196,11,1,1,2,,,,0.0,785693901290487,352769388489998,785693898290487,,
1856819,1,17,3,31,23196,12,1,1,2,,,,0.0,785693902290487,352769388489998,785693898290487,,
1856836,1,17,3,31,23260,12,1,1,2,,,,0.0,785695696290487,352769392489998,785695693290487,,
1852325,4,17,3,31,20082,13,1,1,2,,,,0.0,1287852360290487,352769393489998,1287852350290487,,
1857700,1,17,3,31,21828,1,1,1,2,,,,0.0,785693934290487,352769394489998,785693924290487,785693924290487.0,
1852382,4,17,3,31,20041,13,1,1,2,,,,2.0,1287853649290487,352769396489998,1287853644290487,,
1852382,4,17,3,31,20041,14,1,1,2,,,,2.0,1287853650290487,352769396489998,1287853644290487,,
1856829,1,17,3,31,23267,13,1,1,2,,,,0.0,785696458290487,352769397489998,785696453290487,,
1856981,1,17,3,31,23412,1,1,1,2,,,,0.0,785693067290487,352769399489998,785693064290487,785693064290487.0,
1856981,1,17,3,31,23412,13,1,1,2,,,,0.0,785693069290487,352769399489998,785693064290487,,
1856989,1,17,3,31,23458,14,1,1,2,,,,0.0,785693975290487,352769401489998,785693965290487,,
1857643,1,17,3,31,21750,13,1,1,2,,,,0.0,785696481290487,352769402489998,785696475290487,,
1857643,1,17,3,31,21750,14,1,1,2,,,,0.0,785696482290487,352769402489998,785696475290487,,
1857076,1,17,3,31,23533,12,2,2,2,,,,0.0,785694013290487,352769403489998,785694003290487,,
1857885,1,17,3,31,22123,13,2,2,2,,,,0.0,785698566290487,352769405489998,785698557290487,,
1857885,1,17,3,31,22123,14,2,2,2,,,,0.0,785698567290487,352769405489998,785698557290487,,
1852476,4,17,3,31,20031,1,1,1,2,,,,0.0,1287856548290487,352769408489998,1287855264290487,1287855264290487.0,
1856897,1,17,3,31,23307,11,1,1,2,,,,0.0,785697469290487,352769411489998,785697460290487,,
1855302,1,17,3,31,24538,14,1,1,2,,,,0.0,785696528290487,352769412489998,785696522290487,,
1852362,4,17,3,31,20100,11,1,1,2,,,,0.0,1287852832290487,352769416489998,1287852826290487,,
1852362,4,17,3,31,20100,14,1,1,2,,,,0.0,1287852835290487,352769416489998,1287852826290487,,
1837462,4,17,3,197,20107,14,1,1,2,,,,0.0,1287855391290487,352769417489998,1287855254290487,,
1796293,4,17,3,97,20085,14,1,1,1,,0.0,0.0,0.0,1287853330290487,352769419489998,1287853323290487,,
