VALUE,MEANING,ABBR,DUFF_DENSITY,DUFF_CARBON_RATIO,LITTER_DENSITY,LITTER_CARBON_RATIO,PILE_DENSITY,PILE_CARBON_RATIO,PILE_DECAY_RATIO,FWD_DENSITY,FWD_CARBON_RATIO,FWD_DECAY_RATIO,FWD_SMALL_QMD,FWD_MEDIUM_QMD,FWD_LARGE_QMD,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE
320,Western larch group,wlrchg,8.59,0.5,3.34,0.5,29.95,0.5,0.7,29.95,0.5,0.85,0.087,0.484,1.67,NIMS_40,2010-04-21 14:13:26,77777,NIMS_40,2010-06-17 09:53:42,10497
340,Redwood group,redwoodg,8.59,0.5,3.34,0.5,21.22,0.5,0.7,21.22,0.5,0.85,0.087,0.484,1.67,NIMS_40,2010-04-21 14:13:26,77777,NIMS_40,2010-06-17 09:53:42,10497
360,Other western softwoods group,wsftwds,8.59,0.5,3.34,0.5,24.34,0.5,0.7,24.34,0.5,0.85,0.087,0.484,1.67,NIMS_40,2010-04-21 14:13:26,77777,NIMS_40,2010-06-17 09:53:42,10497
370,California mixed conifer group,,8.59,0.5,3.34,0.5,24.34,0.5,0.7,24.34,0.5,0.85,0.087,0.484,1.67,NIMS_40,2010-04-21 14:13:26,77777,NIMS_40,2010-06-17 09:53:42,10497
380,Exotic softwoods group,exsftwdg,8.59,0.5,3.34,0.5,31.2,0.5,0.7,31.2,0.5,0.85,0.087,0.484,1.67,NIMS_40,2010-04-21 14:13:26,77777,NIMS_40,2010-06-17 09:53:42,10497
390,Other softwoods group,othswdtypg,8.59,0.5,3.34,0.5,24.34,0.5,0.7,24.34,0.5,0.85,0.087,0.484,1.67,NIMS_40,2010-04-21 14:13:26,77777,NIMS_40,2010-06-17 09:53:42,10497
400,Oak / pine group,oakpin,13.48,0.5,5.24,0.5,37.44,0.5,0.7,37.44,0.5,0.85,0.087,0.484,1.67,NIMS_40,2010-04-21 14:13:26,77777,NIMS_40,2010-06-17 09:53:42,10497
500,Oak / hickory group,oakhck,11.51,0.5,4.47,0.5,28.7,0.5,0.7,28.7,0.5,0.85,0.087,0.484,1.67,NIMS_40,2010-04-21 14:13:26,77777,NIMS_40,2010-06-17 09:53:42,10497
600,Oak / gum / cypress group,okgmcyp,11.46,0.5,4.46,0.5,32.45,0.5,0.7,32.45,0.5,0.85,0.087,0.484,1.67,NIMS_40,2010-04-21 14:13:26,77777,NIMS_40,2010-06-17 09:53:42,10497
700,Elm / ash / cottonwood group,elmashcw,7.87,0.5,3.06,0.5,33.07,0.5,0.7,33.07,0.5,0.85,0.087,0.484,1.67,NIMS_40,2010-04-21 14:13:26,77777,NIMS_40,2010-06-17 09:53:42,10497
